epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,280.022,2.13991,3.80422,1.55058,0.83216,0.21459,0.23305,0.11123,2.1959,2.21409,1.55232,0.0033315,0.0033315,0.0033315
2,666.875,2.09833,2.2111,1.53975,0.8057,0.20206,0.21119,0.10202,2.28846,2.44701,1.7146,0.00659886,0.00659886,0.00659886
3,1111.98,2.16629,2.15143,1.60825,0.28296,0.18539,0.19414,0.09408,2.21007,2.3536,1.66281,0.00980021,0.00980021,0.00980021
4,1495.55,2.14573,2.05313,1.63069,0.32596,0.21214,0.23097,0.11374,2.27768,2.27232,1.73918,0.009703,0.009703,0.009703
5,1797.09,2.09308,1.92266,1.59512,0.32096,0.20453,0.22077,0.11049,2.34282,3.18447,1.90063,0.009604,0.009604,0.009604
6,2091.1,2.03481,1.8134,1.55067,0.34492,0.2286,0.24789,0.11932,2.22689,2.19813,1.73359,0.009505,0.009505,0.009505
7,2404.06,2.01111,1.73978,1.53459,0.35191,0.22907,0.24816,0.12704,2.2332,2.62256,1.72428,0.009406,0.009406,0.009406
8,2720.46,1.98138,1.7073,1.5158,0.36206,0.2356,0.26121,0.13329,2.22401,2.35255,1.75616,0.009307,0.009307,0.009307
9,3194.26,1.9716,1.67884,1.50075,0.35705,0.2427,0.25899,0.13604,2.13913,2.31903,1.61374,0.009208,0.009208,0.009208
10,3579.15,1.94962,1.62703,1.48723,0.37882,0.25278,0.27805,0.1454,2.11586,2.16035,1.62761,0.009109,0.009109,0.009109
11,3973.07,1.92722,1.5839,1.47748,0.38897,0.25391,0.28007,0.1465,2.15028,2.23596,1.6821,0.00901,0.00901,0.00901
12,4251.8,1.90278,1.547,1.45545,0.3836,0.26512,0.29074,0.15283,2.03056,1.76855,1.54042,0.008911,0.008911,0.008911
13,4596.69,1.91065,1.55181,1.46194,0.38973,0.25597,0.28305,0.15113,2.05951,2.09595,1.56261,0.008812,0.008812,0.008812
14,5511.2,1.89181,1.50053,1.44685,0.40158,0.26389,0.29292,0.15545,2.07567,1.99874,1.53731,0.008713,0.008713,0.008713
15,5851.09,1.88711,1.48199,1.43941,0.39849,0.26293,0.28977,0.15574,2.02976,1.8397,1.52321,0.008614,0.008614,0.008614
16,6450.32,1.87875,1.46732,1.43553,0.40044,0.27353,0.30073,0.16196,2.01329,1.81127,1.50459,0.008515,0.008515,0.008515
17,6793.34,1.8684,1.45907,1.4182,0.40462,0.27356,0.29956,0.16161,2.03344,2.11178,1.54574,0.008416,0.008416,0.008416
18,7177.71,1.85607,1.44141,1.4171,0.4016,0.27387,0.29971,0.16158,2.0412,2.02859,1.56002,0.008317,0.008317,0.008317
19,7554.83,1.85077,1.41598,1.40967,0.40485,0.27665,0.30392,0.16408,2.01773,1.94404,1.54416,0.008218,0.008218,0.008218
20,7977.28,1.83973,1.4074,1.40574,0.40804,0.27891,0.30441,0.16485,2.01432,1.761,1.52687,0.008119,0.008119,0.008119
21,8300.51,1.83197,1.38733,1.39249,0.40481,0.27819,0.30409,0.16676,2.01535,1.80164,1.52334,0.00802,0.00802,0.00802
22,8685.06,1.83551,1.39837,1.39908,0.40768,0.27778,0.3055,0.16732,1.99177,1.77805,1.48698,0.007921,0.007921,0.007921
23,9038.66,1.8209,1.36213,1.39173,0.41194,0.28107,0.30771,0.16863,2.00591,1.81666,1.48983,0.007822,0.007822,0.007822
24,9438.71,1.81872,1.33571,1.38125,0.41585,0.28426,0.31197,0.1712,2.01301,1.71972,1.48973,0.007723,0.007723,0.007723
25,9924.08,1.81683,1.34114,1.38149,0.41964,0.28635,0.31267,0.17135,1.99737,1.77414,1.48836,0.007624,0.007624,0.007624
26,10334.1,1.81066,1.3286,1.38184,0.41378,0.2857,0.3116,0.16978,2.0034,1.75861,1.49335,0.007525,0.007525,0.007525
27,10746.6,1.79095,1.30353,1.36948,0.41299,0.28663,0.31219,0.17079,1.98119,1.72284,1.48367,0.007426,0.007426,0.007426
28,11099.5,1.79568,1.30162,1.3577,0.41589,0.28776,0.31421,0.1721,1.96907,1.75431,1.48067,0.007327,0.007327,0.007327
29,11473.9,1.78534,1.29065,1.36253,0.41881,0.28704,0.31397,0.17234,1.97181,1.7743,1.48311,0.007228,0.007228,0.007228
30,11853.8,1.78302,1.26519,1.35585,0.42121,0.28755,0.31439,0.17266,1.96398,1.71374,1.47074,0.007129,0.007129,0.007129
31,12230.5,1.77687,1.2644,1.3515,0.4226,0.29041,0.31588,0.17375,1.95533,1.67094,1.46014,0.00703,0.00703,0.00703
32,12610.2,1.76886,1.25015,1.35109,0.41958,0.29084,0.31599,0.17419,1.94896,1.68367,1.45883,0.006931,0.006931,0.006931
33,12982,1.77077,1.24699,1.35017,0.42023,0.29259,0.31672,0.17493,1.94687,1.70222,1.4577,0.006832,0.006832,0.006832
34,13358.3,1.75701,1.23126,1.3379,0.42214,0.29198,0.31769,0.17537,1.94313,1.71861,1.45594,0.006733,0.006733,0.006733
35,13739.3,1.76428,1.22722,1.33684,0.42446,0.29167,0.31797,0.17577,1.94158,1.72535,1.45521,0.006634,0.006634,0.006634
36,14112.9,1.75602,1.21013,1.33353,0.42259,0.29352,0.31846,0.17627,1.94324,1.73203,1.45494,0.006535,0.006535,0.006535
37,14491.3,1.7518,1.20584,1.33507,0.4258,0.29285,0.31826,0.17606,1.94444,1.7454,1.45526,0.006436,0.006436,0.006436
38,14873.5,1.75024,1.20223,1.33041,0.42327,0.29455,0.31835,0.17613,1.94423,1.74956,1.45284,0.006337,0.006337,0.006337
39,15251.3,1.74326,1.18877,1.32257,0.42625,0.29331,0.31886,0.17635,1.94082,1.74725,1.44973,0.006238,0.006238,0.006238
40,15637,1.73488,1.17929,1.32482,0.42655,0.29395,0.3194,0.17694,1.93825,1.74655,1.44919,0.006139,0.006139,0.006139
41,16021.3,1.7375,1.1868,1.32347,0.42825,0.29412,0.31989,0.17743,1.93603,1.74571,1.44771,0.00604,0.00604,0.00604
42,16287.6,1.71956,1.14884,1.31805,0.42698,0.29547,0.3204,0.1777,1.93636,1.75334,1.44788,0.005941,0.005941,0.005941
43,16658.6,1.71438,1.1544,1.31158,0.42919,0.29588,0.32112,0.17842,1.93519,1.75456,1.44813,0.005842,0.005842,0.005842
44,17040.3,1.72435,1.15464,1.31016,0.43127,0.29567,0.32139,0.17901,1.9336,1.77849,1.44768,0.005743,0.005743,0.005743
45,17424.5,1.72937,1.1535,1.31155,0.43202,0.2963,0.32177,0.17943,1.931,1.77824,1.44742,0.005644,0.005644,0.005644
46,17806.2,1.71394,1.12822,1.30005,0.43258,0.2965,0.32233,0.17975,1.92915,1.77281,1.44649,0.005545,0.005545,0.005545
