epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,394.295,1.48371,2.24167,1.12238,0.90155,0.87689,0.92917,0.55753,1.51065,1.48067,1.17518,0.00333067,0.00333067,0.00333067
2,716.036,1.53927,2.28306,1.15926,0.89163,0.8415,0.90228,0.51074,1.53718,1.73499,1.20099,0.00659803,0.00659803,0.00659803
3,965.295,1.58948,2.70948,1.17622,0.73334,0.72538,0.78903,0.42259,1.65417,2.41637,1.27564,0.00979939,0.00979939,0.00979939
4,1212.14,1.6519,3.01495,1.23214,0.74862,0.58523,0.67904,0.35928,1.70492,3.49826,1.27265,0.009703,0.009703,0.009703
5,5263.65,1.68064,3.08547,1.23775,0.73594,0.64015,0.72071,0.36725,1.73228,2.7352,1.33608,0.009604,0.009604,0.009604
6,5516.2,1.649,2.98472,1.23527,0.72784,0.64833,0.71439,0.3856,1.69608,2.70553,1.32167,0.009505,0.009505,0.009505
7,5771.13,1.6944,3.04787,1.25714,0.75988,0.70644,0.79328,0.42156,1.67616,2.45533,1.26932,0.009406,0.009406,0.009406
8,8381.06,1.68025,2.96386,1.25624,0.70546,0.62879,0.69468,0.36424,1.69868,2.85593,1.27714,0.009307,0.009307,0.009307
9,8628.42,1.68293,3.07174,1.249,0.79178,0.69137,0.78348,0.40594,1.66876,2.46208,1.26908,0.009208,0.009208,0.009208
10,9339.98,1.66128,2.84359,1.24474,0.77652,0.71074,0.7867,0.39973,1.69029,2.41003,1.30266,0.009109,0.009109,0.009109
11,9568.78,1.65203,2.82221,1.23286,0.71575,0.70076,0.75572,0.40187,1.65909,2.46339,1.28717,0.00901,0.00901,0.00901
12,9815.88,1.68492,2.91706,1.25596,0.76264,0.5947,0.70478,0.36359,1.75013,2.94215,1.31379,0.008911,0.008911,0.008911
13,10483.2,1.71679,2.90454,1.26682,0.83542,0.63447,0.77121,0.41668,1.70199,2.59638,1.27303,0.008812,0.008812,0.008812
14,10732.1,1.69367,2.83089,1.25702,0.82378,0.72538,0.83043,0.43443,1.70954,2.36399,1.25649,0.008713,0.008713,0.008713
15,10978.7,1.65404,2.84551,1.22762,0.78464,0.73106,0.80347,0.41652,1.73297,2.30069,1.31134,0.008614,0.008614,0.008614
16,11226.3,1.66321,2.79533,1.23556,0.80727,0.6743,0.79557,0.41588,1.73713,2.47123,1.31032,0.008515,0.008515,0.008515
17,11475.9,1.64451,2.68251,1.23004,0.75065,0.77083,0.80433,0.4153,1.75069,2.27112,1.30642,0.008416,0.008416,0.008416
18,14013.9,1.60623,2.74462,1.20334,0.7693,0.74526,0.81423,0.43063,1.66056,2.12865,1.271,0.008317,0.008317,0.008317
19,14261.5,1.61293,2.71978,1.21621,0.78011,0.67191,0.75432,0.40331,1.70689,2.60692,1.3362,0.008218,0.008218,0.008218
20,17163.4,1.66722,2.74506,1.25454,0.80912,0.74242,0.83676,0.4441,1.6595,2.32845,1.30409,0.008119,0.008119,0.008119
21,17474.2,1.61887,2.60993,1.20797,0.82952,0.70076,0.81449,0.41754,1.72286,2.27461,1.32596,0.00802,0.00802,0.00802
22,17861.7,1.66464,2.64922,1.24632,0.82653,0.75803,0.84418,0.44372,1.63841,2.07187,1.27962,0.007921,0.007921,0.007921
23,18253.8,1.65525,2.67597,1.24551,0.85308,0.75879,0.85913,0.47209,1.64509,2.03196,1.27277,0.007822,0.007822,0.007822
24,18651.3,1.64233,2.53036,1.2395,0.83563,0.78598,0.86623,0.45264,1.62143,2.05338,1.25929,0.007723,0.007723,0.007723
25,19038.9,1.62895,2.60147,1.21724,0.78841,0.78598,0.84566,0.4334,1.68013,2.10176,1.28009,0.007624,0.007624,0.007624
26,19441,1.6268,2.56712,1.21325,0.83071,0.78995,0.86674,0.45958,1.64196,2.05313,1.27524,0.007525,0.007525,0.007525
27,19848.9,1.61324,2.56547,1.19881,0.84202,0.76515,0.86377,0.4607,1.64521,2.05013,1.26007,0.007426,0.007426,0.007426
28,20218.8,1.61783,2.61869,1.21458,0.81545,0.79356,0.85711,0.46262,1.62316,2.01709,1.27296,0.007327,0.007327,0.007327
29,20750.8,1.62003,2.49113,1.19186,0.88326,0.73084,0.84987,0.46196,1.6004,2.14928,1.24358,0.007228,0.007228,0.007228
30,21274.5,1.60322,2.38943,1.20434,0.84737,0.7803,0.85567,0.46416,1.65695,2.05079,1.27697,0.007129,0.007129,0.007129
31,21664.6,1.59388,2.53122,1.21078,0.82116,0.80114,0.85108,0.47704,1.61946,2.07578,1.27686,0.00703,0.00703,0.00703
32,21916.4,1.57057,2.40056,1.2084,0.85927,0.76326,0.87441,0.46529,1.66142,1.9625,1.30289,0.006931,0.006931,0.006931
33,22170,1.6221,2.46989,1.21865,0.87726,0.77156,0.87291,0.47363,1.64693,1.93953,1.27377,0.006832,0.006832,0.006832
34,22420.2,1.64966,2.45785,1.22084,0.80848,0.79545,0.86292,0.46785,1.67011,2.02017,1.28371,0.006733,0.006733,0.006733
