epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1306.03,1.8374,4.62367,1.43267,0.77677,0.69333,0.79453,0.41901,1.68571,2.57062,1.26506,0.00333279,0.00333279,0.00333279
2,2588.59,1.82301,2.90778,1.3793,0.78889,0.73939,0.82081,0.42366,1.7053,2.39806,1.31138,0.00657184,0.00657184,0.00657184
3,3867.23,1.85419,2.91405,1.40805,0.78633,0.7469,0.82196,0.42827,1.66202,2.45663,1.32079,0.00971661,0.00971661,0.00971661
4,5132.58,1.85191,2.82693,1.43261,0.81813,0.76844,0.85468,0.45419,1.63048,2.22618,1.30163,0.00957571,0.00957571,0.00957571
5,6398.23,1.80494,2.61053,1.40019,0.82926,0.80483,0.88347,0.47104,1.62346,2.073,1.31704,0.00943429,0.00943429,0.00943429
6,7661.62,1.77665,2.5108,1.38758,0.84675,0.81821,0.89479,0.4818,1.60967,1.98299,1.29938,0.00929286,0.00929286,0.00929286
7,8933.31,1.74249,2.37416,1.36604,0.86176,0.83313,0.90621,0.49922,1.58174,1.88185,1.28073,0.00915143,0.00915143,0.00915143
8,10195.4,1.72634,2.30932,1.36022,0.87918,0.83975,0.916,0.50687,1.57555,1.81344,1.27062,0.00901,0.00901,0.00901
9,11455.3,1.7063,2.25029,1.34475,0.89113,0.86291,0.92923,0.52029,1.55395,1.75264,1.25594,0.00886857,0.00886857,0.00886857
10,12730.4,1.70305,2.19865,1.34019,0.89235,0.86844,0.93447,0.5284,1.54682,1.71115,1.26127,0.00872714,0.00872714,0.00872714
11,13984,1.6909,2.16153,1.33637,0.89713,0.87565,0.93858,0.53291,1.54725,1.66207,1.25499,0.00858571,0.00858571,0.00858571
12,15247.9,1.68147,2.12324,1.32366,0.89818,0.88805,0.94401,0.53711,1.53251,1.62731,1.24467,0.00844429,0.00844429,0.00844429
13,16511.2,1.68198,2.09845,1.32296,0.90753,0.8953,0.94817,0.54178,1.52875,1.59503,1.24496,0.00830286,0.00830286,0.00830286
14,17772.4,1.66946,2.05171,1.31567,0.90998,0.89735,0.95003,0.54584,1.52223,1.56442,1.2396,0.00816143,0.00816143,0.00816143
15,19032.6,1.66459,2.02375,1.31738,0.91172,0.90334,0.95239,0.5501,1.51391,1.55453,1.23604,0.00802,0.00802,0.00802
16,20289.6,1.65211,1.99644,1.31301,0.90941,0.90595,0.9519,0.55206,1.50946,1.5397,1.23489,0.00787857,0.00787857,0.00787857
17,21560.3,1.6465,1.96868,1.30796,0.91501,0.90666,0.95365,0.55495,1.50533,1.52225,1.23261,0.00773714,0.00773714,0.00773714
18,22814.7,1.64282,1.95235,1.30142,0.9137,0.91172,0.9555,0.55585,1.50369,1.50745,1.23231,0.00759571,0.00759571,0.00759571
19,24083.6,1.63508,1.92914,1.29592,0.91487,0.91189,0.95658,0.5568,1.50178,1.49956,1.23078,0.00745429,0.00745429,0.00745429
20,25337.9,1.63254,1.92053,1.29601,0.91798,0.91319,0.95761,0.55815,1.49962,1.48874,1.22881,0.00731286,0.00731286,0.00731286
21,26598.7,1.62661,1.90002,1.29087,0.91885,0.91416,0.95893,0.55976,1.49722,1.47958,1.22696,0.00717143,0.00717143,0.00717143
22,27856.6,1.62781,1.87917,1.29191,0.92053,0.91563,0.95994,0.56111,1.49509,1.4693,1.22526,0.00703,0.00703,0.00703
23,29150.6,1.6161,1.86995,1.28314,0.9217,0.91694,0.96155,0.56246,1.49416,1.46008,1.22417,0.00688857,0.00688857,0.00688857
24,30847.4,1.60839,1.85812,1.28269,0.92257,0.91841,0.9628,0.56356,1.49295,1.4519,1.22333,0.00674714,0.00674714,0.00674714
1,1984.67,1.5441,1.61885,1.2469,0.93176,0.91353,0.9647,0.56604,1.52019,1.38768,1.23456,0.00333279,0.00333279,0.00333279
2,3567.31,1.56205,1.6759,1.25558,0.92214,0.90242,0.95682,0.55368,1.53729,1.45459,1.23627,0.00633615,0.00633615,0.00633615
3,5458.87,1.60297,1.80537,1.2778,0.91408,0.89583,0.95277,0.54254,1.55395,1.55,1.24175,0.00900951,0.00900951,0.00900951
4,7514.77,1.63821,1.92795,1.30208,0.90749,0.88368,0.94786,0.54421,1.54004,1.58548,1.24186,0.008515,0.008515,0.008515
5,9634.91,1.64178,1.91581,1.29878,0.91903,0.89736,0.95252,0.54874,1.53605,1.50677,1.25609,0.00802,0.00802,0.00802
6,12155.6,1.6274,1.90138,1.29656,0.92081,0.90892,0.95956,0.55632,1.52725,1.44968,1.24332,0.007525,0.007525,0.007525
7,14693.5,1.61285,1.86332,1.28258,0.92707,0.91473,0.96109,0.55761,1.51369,1.42858,1.23155,0.00703,0.00703,0.00703
8,17219.2,1.60195,1.82482,1.27546,0.92956,0.91727,0.96379,0.56705,1.49678,1.39522,1.21737,0.006535,0.006535,0.006535
9,19748.7,1.58625,1.77035,1.26735,0.93754,0.91971,0.96777,0.57151,1.50208,1.3555,1.21685,0.00604,0.00604,0.00604
10,21813.9,1.58526,1.7511,1.26617,0.93704,0.92784,0.96981,0.57625,1.4908,1.3316,1.21268,0.005545,0.005545,0.005545
