epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,718.524,1.79709,2.95633,1.35759,0.82272,0.26502,0.2799,0.1385,1.91672,2.13379,1.48601,0.0033315,0.0033315,0.0033315
2,1448.91,1.78116,1.55945,1.35529,0.37169,0.28426,0.32748,0.15942,1.90017,1.72403,1.40005,0.00659886,0.00659886,0.00659886
3,2139,1.81977,1.46435,1.41477,0.83624,0.316,0.33326,0.16471,1.79575,1.44842,1.41769,0.00980021,0.00980021,0.00980021
4,2825.26,1.82389,1.41037,1.4363,0.36687,0.3216,0.36249,0.17246,1.8398,1.3939,1.44514,0.009703,0.009703,0.009703
5,3488.75,1.7714,1.28294,1.40209,0.40173,0.37253,0.41452,0.21352,1.75003,1.16738,1.39596,0.009604,0.009604,0.009604
6,4043.52,1.73502,1.20694,1.37642,0.40172,0.36039,0.40716,0.21316,1.72872,1.18373,1.36076,0.009505,0.009505,0.009505
7,4420.83,1.71593,1.17969,1.36546,0.41528,0.37973,0.42646,0.22654,1.71883,1.06485,1.39116,0.009406,0.009406,0.009406
8,4891.12,1.70395,1.13445,1.35581,0.41534,0.38837,0.43098,0.22561,1.71979,1.05136,1.36947,0.009307,0.009307,0.009307
9,5439.01,1.68285,1.10736,1.34023,0.43017,0.39419,0.44173,0.23324,1.68649,0.98471,1.34334,0.009208,0.009208,0.009208
10,5694.68,1.66962,1.08277,1.32952,0.42327,0.40865,0.44557,0.23928,1.66498,0.96864,1.3459,0.009109,0.009109,0.009109
11,6036.62,1.67283,1.06679,1.33102,0.41868,0.41019,0.4455,0.2407,1.66633,0.94417,1.34718,0.00901,0.00901,0.00901
12,6675.96,1.65248,1.03124,1.31198,0.4259,0.41863,0.45094,0.24652,1.65145,0.90347,1.3253,0.008911,0.008911,0.008911
